,X1,X2,X3,X4
37,191.735641088,178.268174828,446.35548936,457.022859022
38,294.00304474,236.762261802,1018.45655106,314.74278073
39,185.838043106,181.394058919,617.124273767,309.8846603
40,121.734409916,50.3016874844,193.337820627,360.916644973
41,150.483858968,40.2153901296,579.820275192,530.699454299
42,126.705715929,179.529901655,244.426518261,526.362523074
43,161.879049711,40.9338389336,157.041732075,670.199965986
44,211.509391773,222.176788238,995.660916174,414.957687356
45,57.6262248761,13.5132766619,364.579126527,448.572796837
46,148.928855802,55.3825877009,587.273594898,628.185713532
47,142.700703709,192.215005009,406.254649739,527.36425604
48,239.809706077,191.593486748,216.943198915,344.530572849
49,316.27765431,228.162926576,365.668889755,616.060993487
50,543.406258285,385.115271272,272.372713314,329.24287975
51,189.688530707,193.999716303,175.263947574,564.362607005
52,37.2388196013,9.7114539407,645.780815517,357.435677299
53,192.675366007,105.359719196,300.303478872,1049.37253466
54,282.503491981,198.121414263,369.859316411,405.4461872
55,237.344490536,102.47350182,228.177047735,282.124274136
56,272.649952812,304.972351336,316.433686579,337.846269894
57,133.375740501,44.3903167255,295.841828572,456.756341594
58,182.502845902,133.781031769,322.938186542,527.041341978
59,236.891018849,244.259747829,594.08310637,794.179665896
60,302.458804111,152.098845078,614.80792025,683.713648186
61,140.484477689,160.546892068,262.083142188,642.488064012
62,145.413936291,246.415610282,214.450148311,939.266481371
63,225.773285509,15.2151139595,405.712953804,863.680301493
64,80.6218970769,8.78859400961,237.300467178,310.80287591
65,92.3831458731,4.8049147473,289.859069983,347.844663324
66,142.600199387,81.7009606749,140.638442378,569.549077266
67,91.3664703783,46.7255589905,611.784479439,996.197747495
68,141.718244581,39.9100993469,799.455053635,465.791008805
69,432.201869402,484.367632068,496.08838068,363.902604164
70,265.013699041,58.0559651245,358.146822695,750.387253222
71,184.693127098,213.552944964,393.258504969,388.555606143
72,165.892175296,67.3127971662,241.182536798,433.976657696
73,80.0973385348,57.4559515463,626.563177267,411.124687094
74,171.317711338,39.7509973281,233.935398694,493.368404615
75,117.716854172,14.630055979,304.73743753,675.908288514
76,286.354376841,242.883817378,875.156477397,278.002809208
77,184.099307878,100.396956966,166.597050156,306.667114856
78,185.857697186,31.9580985446,268.363575188,401.825832611
79,306.860808106,101.805593417,186.14631866,785.245880288
80,175.218323463,242.873175221,459.511939756,683.003427418
81,206.643967609,12.8903415177,219.303911052,400.941246014
82,144.564825829,122.335418596,461.636056133,666.056038028
83,365.03336999,297.476897289,146.866924661,504.81857218
84,264.906575852,209.182202274,257.778921038,481.06204888
85,274.395419137,76.6908061225,348.269709138,668.808357553
86,70.6004181863,33.4208546186,579.294021794,287.056945683
87,167.041908676,132.277288784,353.712691521,423.087152599
88,354.128077276,256.152024606,345.499730954,460.066226658
89,176.611553955,12.4775324891,550.880951748,462.141679701
90,172.731443055,107.540866093,452.008386994,435.866186778
91,121.459228154,117.524658903,274.342717685,815.233883401
92,180.307446894,114.111062886,484.658933078,665.60085526
93,368.841864662,152.786798455,281.946047967,650.729103741
94,250.605753702,118.849252547,351.184446895,365.161135662
95,133.504319014,29.195837414,301.713647331,413.6074851
96,261.025115512,296.040778136,656.922656617,614.27485133
97,159.022981948,55.7304380256,323.631479495,352.094656811
98,106.868744338,25.7905382526,380.252263862,583.597652061
99,163.643204429,69.0070247795,614.088562479,282.212242687
100,234.95638496,185.046698033,339.242818054,1022.01978012
101,92.8216293795,24.2846410292,417.629811801,629.169427177
102,123.463594739,33.7696201693,259.676054895,393.478541395
103,382.088450743,485.122628932,384.85955029,697.671815309
104,94.6917805267,161.143449144,464.813467403,581.217042569
105,270.124964569,37.1000074475,288.007356799,693.513546373
106,289.871898457,329.990106404,216.497780078,347.686574865
107,171.808363949,123.475220164,638.526366328,669.808498267
108,59.2899567886,137.302417564,312.074288689,501.409543864
109,64.6412280114,4.89224134022,565.093057887,500.23868351
110,115.510269967,148.14275212,306.710879217,616.879244955
111,106.995076049,103.120753258,386.201867106,429.067054709
112,163.680818562,306.647671139,185.291715242,607.394575971
113,265.290974202,267.177839384,164.092689877,408.528633649
114,196.641250889,49.9500397663,870.349223735,358.462593009
115,250.435031969,130.643106075,414.90114324,672.053353902
