,X1-X2,X1-X3,X1-X4,X2-X3,X2-X4,X3-X4
49,179.907288337,298.899838398,258.513599763,271.479239835,284.946305436,136.214466779
50,276.421189915,157.938662167,127.342169182,222.21919088,147.925437,95.6225929767
51,103.466471295,61.7440234002,207.876649236,99.7232463669,232.176978555,119.349345011
52,19.6687996482,266.527727302,79.0166957638,300.58903747,124.190535122,135.223884394
53,100.910136946,98.1725346807,351.907280614,151.859199508,424.576085295,192.6495449
54,182.064246696,142.01507952,178.796690746,178.620048939,192.200246478,168.601275651
55,129.460631201,124.243188185,92.8195578949,106.439827228,120.900207925,159.126254971
56,142.280185885,228.351591105,125.150913474,214.808486277,145.629857041,157.738139739
57,63.1792737821,134.49658236,247.620719199,159.233837446,261.207950536,187.397870046
58,99.5470068554,189.972128878,212.044167166,203.226771702,237.876835915,95.5583049588
59,129.213283008,295.230803798,402.249856975,377.298225418,418.090658806,173.356670294
60,163.172807155,239.825877573,267.628287332,290.508215741,342.121195985,155.968034475
61,76.6278969215,111.597840835,236.988900269,177.260905092,295.594429798,123.104868196
62,90.1413277786,112.703351445,261.508046939,128.518165274,338.466343378,168.212825386
63,103.54732853,212.764371383,407.088345098,194.516441425,469.253746538,182.681322084
64,43.9755802237,86.9785960292,138.209618021,141.817571083,172.337253146,86.7185790495
65,50.3908068399,151.361326558,138.335072207,196.98103599,178.060507197,103.788585754
66,77.7819269385,90.5803863627,181.707568965,106.048990802,226.949664577,134.856938871
67,49.83625657,323.779839968,318.12059115,320.298294886,379.477109825,249.798286876
68,61.9352526649,282.998681919,166.188664543,352.763458656,158.482467644,188.510200191
69,234.543897304,101.884862531,214.697379317,196.860468524,212.426046356,133.474517334
70,144.55292675,170.989964813,307.744972187,198.151861549,347.525444487,119.635239466
71,101.788025686,163.893932287,157.924911747,195.332786858,186.037416791,141.220897477
72,90.4866410706,95.4685771692,228.227597695,115.49913741,255.652434223,128.004418115
73,43.6894573826,221.319375093,141.311663288,262.03207366,154.28738607,228.895035411
74,69.4490170566,117.246711417,227.86324696,147.224301013,241.40499667,124.149919691
75,75.4698201131,193.196062897,333.660272639,163.033941074,345.072456484,198.299482427
76,152.281827369,417.881126242,160.085905824,510.546803344,168.285300246,172.518482776
77,108.528637583,83.801001246,176.446300998,130.842158597,141.994356523,116.918322667
78,101.376925738,97.6707495199,161.057293488,132.307641222,165.139476472,111.066132809
79,163.651760589,114.592729556,313.067110647,87.7224726887,402.146259777,188.687762014
80,95.5736309801,164.054703813,252.749768877,186.922598662,305.873877803,170.374450671
81,112.714891423,108.972207446,158.272527116,133.723819264,175.025977242,99.6007250197
82,70.3927921287,207.58317231,277.330934967,270.284904201,365.572716627,141.180157504
83,197.723257256,146.34053967,228.201711559,112.647723962,266.022002509,113.067393752
84,138.332042152,119.561579421,225.171179413,126.755563239,254.256631474,80.1159686416
85,149.67022862,190.522226616,314.239165043,203.912593248,353.141463474,151.204806349
86,38.5093190107,282.409570091,167.924592007,271.887433629,198.101140268,175.106707978
87,79.9514600826,154.401028402,179.930297467,160.646254853,179.579574386,156.298504625
88,222.166823217,205.94044344,122.792851533,228.4651356,191.612696698,113.905631486
89,75.1557290625,189.574640374,168.060179355,248.972114792,187.913240939,109.173597718
90,90.0936584938,188.589525815,144.667520325,212.691534743,183.124068664,157.632675913
91,70.3169679087,162.391719579,272.399091022,186.318857166,306.497438853,265.312319644
92,98.3495164874,198.887621469,240.037204671,213.13336972,224.2845612,145.031840451
93,201.186471634,110.376876378,206.074654646,148.16172582,285.811000842,161.977297775
94,136.694047474,166.544159053,190.591613318,201.703337562,177.860450888,160.59944371
95,72.8205376441,160.034258546,139.147980515,153.143418681,153.264432057,158.988177607
96,142.377335734,268.297936676,250.277305681,352.334684014,260.081732762,216.976891221
97,86.7398083353,188.458904605,119.360001936,189.40017586,128.077821863,109.233718225
98,58.292042366,223.301979023,220.987553735,205.247991525,250.13609327,139.720247628
99,75.8360114476,295.669773895,130.667104213,307.120899531,145.969308472,131.795237823
100,99.1820677638,78.8008530129,440.559647356,134.620165894,466.771122103,230.676697219
101,50.6299796616,203.497780686,258.295577394,198.122127829,316.820637742,141.382066759
102,63.1338416029,126.116636068,143.39540925,131.328528239,165.306522617,138.095976674
103,208.411882223,203.081433504,303.066327392,235.595491158,318.184154865,172.529324215
104,51.6500621055,177.905970365,227.952454625,231.418731443,226.664914493,170.948067168
105,159.075613169,125.028278926,326.915302797,140.537015195,394.207547217,194.910590448
106,143.246459176,102.472319419,124.935963754,133.9409608,139.060693776,122.62740095
107,107.202746133,467.669235059,293.708622117,480.01711709,290.82559312,303.315215879
108,36.632065494,192.339016197,202.190473179,191.771624469,220.374712525,165.102290256
109,35.2588516426,304.430242145,155.962568837,298.610514033,192.399493658,217.91977613
110,78.066256283,154.750689571,240.08463275,153.991855526,275.017471088,173.111264607
111,58.3609505723,126.155404734,191.156333316,202.467892446,214.228805457,237.570774457
112,101.775869875,67.9779424754,242.257767455,75.9510561436,229.633337535,114.91720803
113,138.304577445,73.084945132,184.806480696,82.9829069495,199.921210901,122.107858793
114,107.258864121,409.652676913,189.477164083,454.869051831,160.269984557,152.589274192
