,X1,X2,X3,X4
221,176.697280344,29.2118399588,478.439735562,479.175679282
222,118.647022169,101.950799324,515.000661704,426.571864318
223,79.7103038531,43.8749888228,360.678035175,631.709144122
224,50.3985547343,13.151285804,586.469889425,549.849719542
225,184.816968753,194.223437945,297.496413692,326.819274965
226,87.8502129328,10.2213586264,125.784755356,516.683775373
227,205.269303052,161.122064452,667.153593268,593.838697274
228,395.806043704,339.525686709,386.94259177,348.459054576
229,152.547894379,17.6677224862,521.039528353,760.642532432
230,222.627761579,151.210893724,367.551873293,409.378947212
231,156.136249195,147.413035735,233.315198021,803.336401643
232,146.110153953,81.7513520675,536.849530898,509.6904256
233,159.363271466,115.623753736,176.3523554,523.528157645
234,141.23350025,7.98469508739,353.677937251,325.570614891
235,142.136914254,232.45552635,427.146477877,618.004104826
236,228.21555777,106.481039935,239.237922736,455.17416406
237,143.017467162,71.7799509909,336.802433894,272.554472492
238,150.752032521,211.735055181,231.67535478,387.252046682
239,120.256825067,20.4604025981,273.051786072,447.945715911
240,152.438120876,240.071436306,415.992748698,475.187917006
241,75.6157542122,26.5228693414,408.148652011,452.035933511
242,96.8566764477,24.2146743535,286.136425226,676.388616953
243,366.578952722,376.365722596,226.394393047,315.524077515
244,171.459974934,22.5548680545,444.818019984,187.316380837
245,430.559442503,566.40413141,540.041988249,379.745603363
246,194.467266365,85.1710022294,304.374603225,593.513102388
247,297.236126378,242.230082904,331.239564659,676.291790675
248,84.331901039,22.4214087741,299.771116434,499.8944421
249,83.357914441,79.6784669928,276.603500436,759.826011417
250,302.299413778,409.601527264,287.358063979,395.933949323
251,234.088366044,252.932088984,764.817615732,255.231412165
252,120.803200469,184.167677286,513.160129012,510.191777201
253,78.0596416241,5.98090898856,252.988031328,474.294726211
254,187.594273956,124.944579027,369.308247928,494.642664049
255,120.233162341,79.3904094477,197.224856745,327.379145614
256,161.013717497,79.4767272953,245.529845842,580.032144405
257,112.152134527,120.233042079,294.267595235,878.654894698
258,307.340167257,205.463682169,957.273600118,632.490172269
259,357.819284651,152.215630937,236.712647228,543.605562594
260,215.739898929,148.86492635,278.660578485,385.852149384
261,191.409861659,252.705787578,420.432077129,364.372669261
262,226.432738818,9.42654716299,316.086583993,435.172436922
263,438.835462288,101.488766448,205.149897956,402.287352369
264,209.626321559,90.5302389419,462.272973622,382.888823984
265,273.033423511,265.212862649,595.353648776,223.791793435
266,297.18404719,73.2908713979,190.247707526,588.512447495
267,233.811448619,68.7001323697,261.925012605,593.424025222
268,94.5822120224,84.5988659401,371.599026659,502.015605546
269,224.178876422,189.502480144,194.470150482,224.76235154
270,160.246651101,1.59094074823,341.793415346,589.310905822
271,220.315621095,23.6696920107,501.355807102,563.300165995
272,266.652582953,168.603908651,135.191966143,411.034788257
273,95.6255214407,122.733402411,224.136429914,297.924867498
274,170.035695813,16.825733781,631.817563672,581.075335203
275,284.841949495,20.4414075862,389.000596612,229.694934522
276,110.421009809,191.38350048,249.81857202,442.522581235
277,187.042962375,62.3175617626,938.18067109,412.102676122
278,95.4671759261,86.591710131,397.104002298,455.435223163
279,157.569851076,51.2528711033,208.823298827,553.760430578
280,342.106442056,84.15751129,374.074385612,454.314644343
281,152.930885557,11.443248117,301.351334631,673.32392923
282,305.391617671,340.803208706,493.015691214,469.286149986
283,220.159642451,126.937051913,635.166509773,398.906043217
284,139.24054718,77.0978602869,338.813071993,374.177777296
285,70.0975871781,37.8527173099,218.637288188,544.153076419
286,156.5961368,27.0448511089,478.226718159,583.116672624
287,199.809986312,108.023346138,172.173282134,731.994843006
288,287.809970874,218.101812875,501.511797586,452.597774264
289,42.0202209723,133.084842953,240.018468448,207.048142062
290,185.16327525,178.692329686,280.469326035,450.331577136
291,129.043868944,262.496659727,156.088772591,845.739591201
292,71.6338344591,64.9946659348,410.103027114,479.346617225
293,123.277827085,101.005031274,666.058404068,450.580488515
294,150.315751959,168.526034485,474.841426035,562.807957902
295,231.888304382,235.479480922,529.24182072,312.420850001
296,163.647630676,39.0981345092,257.122105402,425.482807472
297,161.189620783,119.950412043,409.877306255,239.613550083
298,183.372480211,31.9037395397,202.369368965,667.250136945
299,105.149775239,15.9783067671,485.418669588,447.321403698
300,323.528058063,123.846319076,473.743126276,892.441592951
301,163.116364688,77.2813040518,491.012629935,413.619797153
302,312.803198316,210.894781571,362.305732651,604.827843504
303,208.335319736,90.5611219999,476.82384834,395.764937448
304,81.3142032198,67.3232823508,522.404065825,374.399446411
305,284.04004191,180.031679418,269.700768019,384.958586624
